
echo 0 > /proc/sys/net/ipv4/tcp_fastopen
echo 0 > /proc/sys/net/ipv4/tcp_tw_reuse
echo 0 > /proc/sys/net/ipv4/tcp_timestamps


# サーバ側Active Close
START
     28718   5743/s,  5743/s
    170123  17012/s, 28280/s
    307218  20481/s, 27418/s
    457008  22850/s, 29958/s
    599335  23973/s, 28465/s
    742531  24751/s, 28639/s
    889784  25422/s, 29450/s
   1031753  25793/s, 28393/s
   1169427  25987/s, 27534/s
   1308678  26173/s, 27850/s
   1448639  26338/s, 27992/s
   1587201  26453/s, 27712/s
   1732912  26660/s, 29142/s
   1874832  26783/s, 28383/s

# クライアント側Active Close
START
     54599  10919/s, 10919/s
    122111  12211/s, 13502/s
    156887  10459/s,  6955/s
    156942   7847/s,    11/s
    156998   6279/s,    11/s
    157053   5235/s,    11/s
    157108   4488/s,    11/s
    157153   3928/s,     9/s
    157533   3500/s,    76/s
    157593   3151/s,    12/s
    157655   2866/s,    12/s
    166755   2779/s,  1820/s
    167721   2580/s,   193/s
    167781   2396/s,    12/s
    170517   2273/s,   547/s
    185789   2322/s,  3054/s
    189287   2226/s,   699/s
    189346   2103/s,    11/s
    189406   1993/s,    12/s
    189466   1894/s,    12/s
    194342   1850/s,   975/s
    194391   1767/s,     9/s
    194452   1690/s,    12/s
    194512   1620/s,    12/s
    194572   1556/s,    12/s
    195583   1504/s,   202/s
    209694   1553/s,  2822/s
    209754   1498/s,    12/s
    212947   1468/s,   638/s
    213820   1425/s,   174/s
    213880   1379/s,    12/s
    213940   1337/s,    12/s
    213988   1296/s,     9/s

# クライアント側Active Close + SO_REUSERADDR
START
     14317   2863/s,  2863/s
     86775   8677/s, 14491/s
     86830   5788/s,    11/s
     87526   4376/s,   139/s
     88390   3535/s,   172/s
     88451   2948/s,    12/s
     88511   2528/s,    12/s
     88571   2214/s,    12/s
     90052   2001/s,   296/s
     91431   1828/s,   275/s
     91797   1669/s,    73/s
     91857   1530/s,    12/s
     91905   1413/s,     9/s
    134529   1921/s,  8524/s
    172011   2293/s,  7496/s
    172066   2150/s,    11/s
    172596   2030/s,   106/s
    173116   1923/s,   104/s
    173942   1830/s,   165/s
    174002   1740/s,    12/s
    174062   1657/s,    12/s
    174122   1582/s,    12/s
    174182   1514/s,    12/s
    186742   1556/s,  2512/s

# クライアント側Active Close + SO_REUSERADDR + SO_LINGER
START
     65717  13143/s, 13143/s
    177110  17711/s, 22278/s
    288951  19263/s, 22368/s
    401550  20077/s, 22519/s
    512302  20492/s, 22150/s
    625465  20848/s, 22632/s
    736865  21053/s, 22279/s
    842192  21054/s, 21065/s
    929393  20653/s, 17440/s
   1023779  20475/s, 18876/s
   1125176  20457/s, 20279/s
   1216350  20272/s, 18234/s
   1325243  20388/s, 21778/s
   1406832  20097/s, 16317/s
   1483885  19785/s, 15410/s
   1576764  19709/s, 18575/s
   1678735  19749/s, 20394/s
   1782346  19803/s, 20722/s
   1870819  19692/s, 17694/s
   1959565  19595/s, 17749/s
   2059878  19617/s, 20062/s
   2159689  19633/s, 19962/s

# クライアント側Active Close + SO_LINGER
START
     31673   6334/s,  6334/s
     79315   7931/s,  9528/s
    120907   8060/s,  8318/s
    155678   7783/s,  6954/s
    182027   7281/s,  5269/s
    205382   6846/s,  4671/s
    245814   7023/s,  8086/s
    287815   7195/s,  8400/s
    317381   7052/s,  5913/s
    349387   6987/s,  6401/s
    377216   6858/s,  5565/s
    406854   6780/s,  5927/s
    451649   6948/s,  8959/s
    478576   6836/s,  5385/s
    524854   6998/s,  9255/s
    569912   7123/s,  9011/s
    613446   7217/s,  8706/s
    656850   7298/s,  8680/s
    694218   7307/s,  7473/s
    733334   7333/s,  7823/s
    771609   7348/s,  7655/s
    809521   7359/s,  7582/s
    841009   7313/s,  6297/s
    885260   7377/s,  8850/s
    929655   7437/s,  8879/s
    975049   7500/s,  9078/s
   1019021   7548/s,  8794/s
   1063707   7597/s,  8937/s
   1110992   7662/s,  9457/s
   1158455   7723/s,  9492/s
   1204640   7771/s,  9237/s
   1252349   7827/s,  9541/s
   1298828   7871/s,  9295/s
   1346604   7921/s,  9555/s
   1393069   7960/s,  9293/s
   1436699   7981/s,  8726/s
   1479373   7996/s,  8534/s
   1505310   7922/s,  5187/s
   1548840   7942/s,  8706/s
   1596006   7980/s,  9433/s
   1639032   7995/s,  8605/s
   1682452   8011/s,  8684/s
   1730388   8048/s,  9587/s
   1777390   8079/s,  9400/s
   1822914   8101/s,  9104/s
   1864137   8104/s,  8244/s
   1902002   8093/s,  7573/s
   1944585   8102/s,  8516/s
   1989856   8121/s,  9054/s
   2033808   8135/s,  8790/s
   2078213   8149/s,  8881/s
   2113804   8130/s,  7118/s
   2157786   8142/s,  8796/s
   2203187   8159/s,  9080/s
   2247124   8171/s,  8787/s
   2281029   8146/s,  6780/s
   2321197   8144/s,  8033/s
   2355142   8121/s,  6789/s
   2401242   8139/s,  9220/s
   2447714   8159/s,  9294/s
   2491858   8170/s,  8828/s
   2537874   8186/s,  9203/s
   2583714   8202/s,  9167/s
   2628737   8214/s,  9004/s
   2671687   8220/s,  8590/s
   2714840   8226/s,  8630/s
   2760200   8239/s,  9072/s
   2796992   8226/s,  7358/s
   2813564   8155/s,  3314/s
   2847892   8136/s,  6865/s
   2874839   8098/s,  5389/s
   2910309   8084/s,  7094/s
   2947663   8075/s,  7470/s
